trip_id,arrival_time,departure_time,stop_id,stop_sequence,drop_off_type,pickup_type
9007-0613,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0615,07:12:00,07:12:00,paris_nord,1,1,0
9007-0615,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0616,07:12:00,07:12:00,paris_nord,1,1,0
9007-0616,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0617,07:12:00,07:12:00,paris_nord,1,1,0
9007-0617,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0618,07:12:00,07:12:00,paris_nord,1,1,0
9007-0618,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0619,07:12:00,07:12:00,paris_nord,1,1,0
9007-0619,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0620,07:12:00,07:12:00,paris_nord,1,1,0
9007-0620,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0622,06:57:00,06:57:00,paris_nord,1,1,0
9007-0622,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0623,06:57:00,06:57:00,paris_nord,1,1,0
9007-0623,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0624,06:57:00,06:57:00,paris_nord,1,1,0
9007-0624,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0625,06:57:00,06:57:00,paris_nord,1,1,0
9007-0625,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0626,06:57:00,06:57:00,paris_nord,1,1,0
9007-0626,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0627,06:57:00,06:57:00,paris_nord,1,1,0
9007-0627,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0629,06:58:00,06:58:00,paris_nord,1,1,0
9007-0629,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0630,06:58:00,06:58:00,paris_nord,1,1,0
9007-0630,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0701,06:58:00,06:58:00,paris_nord,1,1,0
9007-0701,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0702,06:58:00,06:58:00,paris_nord,1,1,0
9007-0702,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0703,06:58:00,06:58:00,paris_nord,1,1,0
9007-0703,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0704,07:12:00,07:12:00,paris_nord,1,1,0
9007-0704,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0706,07:12:00,07:12:00,paris_nord,1,1,0
9007-0706,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0707,07:12:00,07:12:00,paris_nord,1,1,0
9007-0707,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0708,07:12:00,07:12:00,paris_nord,1,1,0
9007-0708,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0709,07:12:00,07:12:00,paris_nord,1,1,0
9007-0709,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0710,07:12:00,07:12:00,paris_nord,1,1,0
9007-0710,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0711,07:12:00,07:12:00,paris_nord,1,1,0
9007-0711,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0713,07:12:00,07:12:00,paris_nord,1,1,0
9007-0713,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0715,07:12:00,07:12:00,paris_nord,1,1,0
9007-0715,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0716,07:12:00,07:12:00,paris_nord,1,1,0
9007-0716,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0717,07:12:00,07:12:00,paris_nord,1,1,0
9007-0717,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0718,07:12:00,07:12:00,paris_nord,1,1,0
9007-0718,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0720,07:12:00,07:12:00,paris_nord,1,1,0
